Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,74889302450,1,74889302450,
"C1, C2",0603,2,20pF,
C10,0603,1,100pF,
"C11, C16, C19, C25, C26, C27, C28, C3, C30, C31, C4, C5, C9",0603,13,100nF,
C13,0603,1,10uF,
"C14, C15, C18, C24",0603,4,4.7uF,
"C17, C29",CP_Elec_5x4.5,2,100uF,
C20,0603,1,0.3pF,
C21,0603,1,0.8pF,
C7,0603,1,10nF,
C8,0603,1,1uF,
"D1, D3",D_SOD-128,2,RBS2LAM40CTR,
"D2, D4, D5, D6, D7, D8",0603,6,LED_Small,
"F1, F2",1210,2,0.5A/16V,
FL1,DLF162500LT5028A1,1,DLF162500LT-5028A1,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
IC1,QFN40P800X800X100-69N-D,1,STM32WB55RGV6,
"IC2, IC3",SON50P200X200X80-9N,2,DRV8212PDSGR,
IC4,SON127P800X600X80-9N-D,1,W25N01GVZEIG,
IC5,LSM6DSLTR,1,LSM6DSLTR,
"IC6, IC7",SOT-23-6,2,SN74LVC1G18DBVRG4,
"J1, J2",JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,2,JST-SH 01x06,
J3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,JST_XH_B3B,
J4,FTSH-107-XX-YYY-DV-K-A,1,FTSH-107-01-L-DV-K-A,
J6,USB4145030070C,1,USB4145-03-0070-C,
J7,Molex_200528-0100_1x10-1MP_P1.00mm_Horizontal,1,Conn_01x10,
L1,1206,1,1mH,
L2,WE-PMI_080562,1,74479774222,
L3,0603,1,2.7nH,
R1,0603,1,1k,
"R10, R11, R12, R4, R5, R6, R7, R8, R9",0603,9,10k,
"R2, R3",0603,2,5.1k,
U1,SOT-223-3_TabPin2,1,LM1117MP-3.3,
U2,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322516MLB4SI,
