Designator,Mid X,Mid Y,Rotation,Layer
ANT1,147.3,-85.8,180.0,top
C1,159.3,-68.8,90.0,top
C10,151.25,-71.0,180.0,top
C11,149.0,-56.6,270.0,top
C13,139.1,-63.5,0.0,top
C14,155.6,-64.4,90.0,top
C15,155.6,-61.0,90.0,top
C16,153.7,-47.2,180.0,top
C17,159.0,-49.5,0.0,top
C18,132.0,-63.7,0.0,top
C19,134.499999,-64.2,90.0,top
C2,156.3,-71.5,0.0,top
C20,148.225,-71.988,180.0,top
C21,148.225,-76.988,0.0,top
C24,162.0,-64.3,180.0,top
C25,159.5,-63.8,270.0,top
C26,152.93,-49.875,270.0,top
C27,143.0,-65.775,90.0,bottom
C28,147.037,-67.85,180.0,bottom
C29,137.8,-50.2,0.0,top
C3,153.8,-61.0,270.0,top
C30,163.3,-58.4,90.0,top
C31,130.699999,-69.6,270.0,top
C4,143.8,-56.6,270.0,top
C5,145.9,-71.775,90.0,top
C7,139.9,-68.4,270.0,top
C8,138.19,-68.4,270.0,top
C9,151.25,-69.5,180.0,top
D1,155.8,-54.3,0.0,top
D2,131.3,-59.2,180.0,top
D3,135.5,-43.0,90.0,top
D4,124.9,-73.2,180.0,top
D5,124.9,-74.8,180.0,top
D6,124.9,-76.4,180.0,top
D7,124.9,-78.0,180.0,top
D8,131.3,-61.3,180.0,top
F1,162.0,-54.3,0.0,top
F2,131.7,-43.9,90.0,top
FL1,149.0,-79.1,270.0,top
IC1,147.0,-64.0,0.0,top
IC2,132.0,-66.0,0.0,top
IC3,162.0,-62.0,180.0,top
IC4,147.0,-51.0,0.0,top
IC5,147.0,-64.0,0.0,bottom
IC6,160.6,-58.4,270.0,top
IC7,133.399999,-69.6,90.0,top
J1,169.0,-64.0,270.0,top
J2,125.0,-64.0,90.0,top
J3,168.825,-50.1,270.0,top
J4,166.3725,-75.35,270.0,top
J6,125.5,-52.5,90.0,top
J7,147.0,-43.89,180.0,top
L1,138.3,-65.6,0.0,top
L2,153.8,-64.4,270.0,top
L3,149.0,-74.488,270.0,top
R1,145.4,-56.6,270.0,top
R10,137.2,-56.6,270.0,top
R11,138.9,-56.6,90.0,top
R12,134.5,-61.3,180.0,top
R2,131.4,-55.2,0.0,top
R3,131.4,-49.8,0.0,top
R4,134.5,-59.2,180.0,top
R5,128.035,-73.2,180.0,top
R6,128.035,-74.8,180.0,top
R7,128.035,-76.4,180.0,top
R8,128.035,-78.0,180.0,top
R9,140.6,-56.6,270.0,top
U1,160.5,-42.8,0.0,top
U2,131.4,-52.5,180.0,top
Y1,156.2,-68.8,0.0,top
